audio_file	text
wavs/01.wav	Митохондрия — двумембранная арганэлла
wavs/02.wav	Ана преабразуйет энэргию из арганических саединений в синтетичискую
wavs/03.wav	Эта энэргия нужна для работы клетки и роста
wavs/04.wav	Митохондрии используют АТФ и химическийе вещества, штобы получить электроны
wavs/05.wav	Электроны затем восстановливают энэргию
wavs/06.wav	Митохондрии есть у большинства эукариотических клеток
wavs/07.wav	Они встречаются и у автотрофов, и у гетеротрофов
wavs/08.wav	Митохондрии — это главные электростанции клетки
wavs/09.wav	Они вырабатывают АТФ из глюкозы и кислорода
wavs/10.wav	Без митохондрий клетка не смогла бы выжить
wavs/11.wav	Внутри митохондрий происходит цикл Кребса
wavs/12.wav	Цикл Кребса помогает получить энэргию из пищи
wavs/13.wav	Митохондрии имеют свою собственную ДНК
wavs/14.wav	Эта ДНК передаётся только от матери
wavs/15.wav	АТФ — это универсальная «валюта» энэргии
wavs/16.wav	Клетка тратит АТФ на деление, рост и транспорт
wavs/17.wav	В процессе дыхания образуются свободные радикалы
wavs/18.wav	Митохондрии могут сами себя уничтожить — это апоптоз
wavs/19.wav	У простейших тоже есть митохондрии, но не у всех
wavs/20.wav	Некоторые бактерии похожи на митохондрии
wavs/21.wav	Считается, что митохондрии — это бывшие симбионты
wavs/22.wav	Они вступили в симбиоз с древней клеткой миллиарды лет назад
wavs/23.wav	Химические вещества проникают через мембраны митохондрий
wavs/24.wav	Митахондриальный матрикс содержит рибосомы и ДНК
wavs/25.wav	Эукариотические клетки характеризуются наличием митахондрий
wavs/26.wav	Автотрофные организмы синтезируют органические вещества
wavs/27.wav	Гетеротрофы получают энергию из готовых органических соединений
wavs/28.wav	Химические превращения происходят в митохондриальном матриксе
wavs/29.wav	Электроны перемещаются по дыхательной цепи
wavs/30.wav	АТФ синтезируется в процессе окислительного фосфорилирования
wavs/31.wav	Митахондриальные мембраны разделяют внутреннее пространство
wavs/32.wav	Энергетический обмен происходит в эукариотических клетках
wavs/33.wav	Органические соединения расщепляются с выделением энергии
wavs/34.wav	Синтетические процессы требуют затрат АТФ
